"X","trialNum","rt","subject","condition","Focal1","Focal2","Focal3","ParticipantNum","InducerL","InducerR","ConcurrentL","ConcurrentR","choice","DataSet"
44,45,5060,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-L","Size-Squares-H","Pitch-Pulse-L","Pitch-Pulse-H",1,"Pilot"
45,46,4278,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Affect-EB-L","Affect-EB-H","Pitch-Tone-H","Pitch-Tone-L",0,"Pilot"
46,47,4686,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Piano-H","Pitch-Piano-L","Affect-EB-L","Affect-EB-H",0,"Pilot"
47,48,4271,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Shape-BK2-H","Shape-BK2-L","Pitch-Tone-L","Pitch-Tone-H",1,"Pilot"
48,49,5576,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Noise-Hum-L","Noise-Hum-H","Pitch-Pulse-L","Pitch-Pulse-H",1,"Pilot"
49,50,3074,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Shape-BK2-L","Shape-BK2-H","Size-Triangles-L","Size-Triangles-H",0,"Pilot"
50,51,3935,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Noise-Hum-H","Noise-Hum-L","Color-RY-L","Color-RY-H",0,"Pilot"
51,52,4477,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Pulse-L","Pitch-Pulse-H","Size-Triangles-H","Size-Triangles-L",0,"Pilot"
52,53,3693,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Amp-Tone-H","Amp-Tone-L","Size-Circles-H","Size-Circles-L",0,"Pilot"
53,54,3254,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Amp-Tone-L","Amp-Tone-H","Size-Triangles-L","Size-Triangles-H",0,"Pilot"
54,55,2992,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-H","Size-Squares-L","Color-RB-H","Color-RB-L",1,"Pilot"
55,56,3813,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Diamonds-L","Size-Diamonds-H","Pitch-Pulse-H","Pitch-Pulse-L",0,"Pilot"
56,57,2073,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Squares-H","Size-Squares-L","Color-RY-L","Color-RY-H",1,"Pilot"
57,58,5632,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Amp-Tone-H","Amp-Tone-L","Pitch-Pulse-H","Pitch-Pulse-L",1,"Pilot"
58,59,3748,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-RG-H","Color-RG-L","Amp-Tone-H","Amp-Tone-L",0,"Pilot"
59,60,3894,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Pulse-H","Pitch-Pulse-L","Color-RB-H","Color-RB-L",0,"Pilot"
60,61,5766,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Size-Diamonds-L","Size-Diamonds-H","Noise-Hum-L","Noise-Hum-H",0,"Pilot"
61,62,2039,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Shape-BK2-H","Shape-BK2-L","Color-RY-H","Color-RY-L",0,"Pilot"
62,63,3425,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-YB-L","Color-YB-H","Speed-SP4-L","Speed-SP4-H",0,"Pilot"
63,64,1824,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-RG-H","Color-RG-L","Shape-BK2-L","Shape-BK2-H",1,"Pilot"
64,65,4735,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Shape-BK2-H","Shape-BK2-L","Pitch-Pulse-H","Pitch-Pulse-L",1,"Pilot"
65,66,5553,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Amp-Tone-L","Amp-Tone-H","Pitch-Tone-L","Pitch-Tone-H",0,"Pilot"
66,67,3551,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-YB-H","Color-YB-L","Amp-Tone-H","Amp-Tone-L",1,"Pilot"
67,68,4691,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-YB-L","Color-YB-H","Pitch-Pulse-H","Pitch-Pulse-L",1,"Pilot"
68,69,4062,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Amp-Tone-H","Amp-Tone-L","Color-RY-H","Color-RY-L",0,"Pilot"
69,70,4702,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Hum-L","Pitch-Hum-H","Shape-BK2-L","Shape-BK2-H",0,"Pilot"
70,71,3367,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Noise-Hum-L","Noise-Hum-H","Size-Circles-L","Size-Circles-H",0,"Pilot"
71,72,3331,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Pitch-Piano-H","Pitch-Piano-L","Size-Squares-H","Size-Squares-L",0,"Pilot"
72,73,2809,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Color-RG-H","Color-RG-L","Brightness-Triangles-H","Brightness-Triangles-L",0,"Pilot"
73,74,4210,"2fgfNXCWoW","Pitch-Size-Color-9","Pitch","Size","Color","9","Affect-EB-L","Affect-EB-H","Size-Circles-H","Size-Circles-L",1,"Pilot"
