"X","trialNum","rt","subject","condition","Focal1","Focal2","Focal3","ParticipantNum","InducerL","InducerR","ConcurrentL","ConcurrentR","choice","DataSet"
58,59,7125,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Pulse-H","Noise-Pulse-L","Amp-Pulse-H","Amp-Pulse-L",1,"Pilot"
59,60,4592,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Speed-SP1-H","Speed-SP1-L","Noise-Tone-L","Noise-Tone-H",0,"Pilot"
60,61,3835,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Pulse-L","Noise-Pulse-H","Shape-BK3-L","Shape-BK3-H",0,"Pilot"
61,62,3831,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Amp-Pulse-H","Amp-Pulse-L","Shape-BK4-H","Shape-BK4-L",1,"Pilot"
62,63,2990,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Shape-BK3-H","Shape-BK3-L","Color-RY-H","Color-RY-L",0,"Pilot"
63,64,4748,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Pulse-H","Noise-Pulse-L","Affect-EB-H","Affect-EB-L",1,"Pilot"
64,65,3118,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Size-Triangles-H","Size-Triangles-L","Speed-SP3-L","Speed-SP3-H",1,"Pilot"
65,66,5105,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Noise-Hum-H","Noise-Hum-L","Brightness-Squares-L","Brightness-Squares-H",0,"Pilot"
66,67,3745,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Shape-BK3-H","Shape-BK3-L","Speed-SP2-H","Speed-SP2-L",1,"Pilot"
67,68,4267,"0BwAB3cQny","Noise-Shape-Speed-10","Noise","Shape","Speed","10","Pitch-Piano-H","Pitch-Piano-L","Shape-BK2-L","Shape-BK2-H",1,"Pilot"
